Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.767,0.015,0.82,0.011,0.881,0.008,0.893,0.013,0.869,0.016,0.664,0.03
RF,0.773,0.019,0.876,0.011,0.923,0.007,0.881,0.015,0.968,0.009,0.578,0.04
XGB,0.79,0.021,0.882,0.013,0.926,0.008,0.89,0.015,0.966,0.01,0.613,0.042
KNN,0.775,0.018,0.834,0.016,0.89,0.012,0.895,0.013,0.886,0.02,0.665,0.036
MLP,0.796,0.021,0.867,0.012,0.915,0.008,0.899,0.015,0.932,0.016,0.66,0.047
