Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.798,0.017,0.82,0.017,0.877,0.013,0.917,0.012,0.84,0.022,0.755,0.032
RF,0.825,0.02,0.893,0.011,0.931,0.007,0.911,0.015,0.953,0.01,0.697,0.043
XGB,0.822,0.018,0.889,0.01,0.929,0.007,0.909,0.014,0.95,0.01,0.694,0.04
KNN,0.822,0.021,0.89,0.012,0.929,0.008,0.909,0.015,0.95,0.008,0.694,0.042
MLP,0.82,0.016,0.88,0.012,0.922,0.008,0.911,0.012,0.934,0.011,0.707,0.03
