Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.782,0.017,0.827,0.014,0.884,0.01,0.902,0.013,0.868,0.019,0.696,0.034
RF,0.788,0.018,0.879,0.011,0.924,0.008,0.89,0.014,0.96,0.007,0.616,0.036
XGB,0.798,0.017,0.882,0.009,0.925,0.006,0.895,0.014,0.957,0.009,0.638,0.037
KNN,0.802,0.017,0.84,0.011,0.893,0.008,0.913,0.014,0.874,0.016,0.73,0.038
MLP,0.806,0.027,0.867,0.016,0.914,0.012,0.906,0.021,0.923,0.034,0.689,0.075
