Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.685,0.019,0.929,0.004,0.333,0.03,0.278,0.031,0.419,0.039,0.951,0.005
RF,0.731,0.021,0.973,0.002,0.594,0.037,0.826,0.065,0.466,0.042,0.996,0.002
XGB,0.73,0.021,0.956,0.003,0.482,0.033,0.487,0.053,0.482,0.044,0.977,0.005
KNN,0.726,0.021,0.974,0.002,0.596,0.038,0.87,0.056,0.455,0.042,0.997,0.001
