Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.856,0.014,0.648,0.029,0.346,0.058,0.951,0.011,0.427,0.057,0.568,0.072
RF,0.859,0.013,0.635,0.02,0.308,0.042,0.962,0.01,0.405,0.042,0.603,0.064
XGB,0.861,0.012,0.578,0.019,0.165,0.038,0.99,0.005,0.269,0.053,0.761,0.109
KNN,0.855,0.012,0.555,0.013,0.118,0.027,0.993,0.004,0.203,0.042,0.752,0.109
MLP,0.85,0.014,0.642,0.025,0.339,0.053,0.945,0.011,0.413,0.048,0.536,0.058
