Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.617,0.016,0.88,0.006,0.235,0.024,0.188,0.024,0.319,0.035,0.915,0.008
RF,0.61,0.019,0.926,0.008,0.284,0.037,0.334,0.065,0.253,0.041,0.968,0.01
XGB,0.65,0.019,0.893,0.008,0.289,0.028,0.236,0.029,0.376,0.04,0.925,0.009
KNN,0.545,0.011,0.941,0.007,0.162,0.035,0.505,0.12,0.097,0.022,0.994,0.004
