Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.64,0.021,0.889,0.006,0.282,0.028,0.234,0.026,0.357,0.044,0.923,0.007
RF,0.642,0.02,0.914,0.005,0.321,0.035,0.311,0.038,0.333,0.041,0.952,0.005
XGB,0.679,0.017,0.894,0.005,0.334,0.026,0.273,0.027,0.433,0.036,0.924,0.006
KNN,0.563,0.015,0.94,0.004,0.212,0.042,0.556,0.073,0.133,0.031,0.993,0.002
