Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.675,0.028,0.912,0.005,0.319,0.035,0.262,0.03,0.411,0.059,0.939,0.006
RF,0.705,0.023,0.95,0.005,0.464,0.044,0.504,0.063,0.433,0.045,0.977,0.005
XGB,0.718,0.023,0.93,0.006,0.411,0.032,0.36,0.034,0.482,0.048,0.954,0.006
KNN,0.638,0.021,0.955,0.004,0.388,0.041,0.617,0.065,0.286,0.042,0.99,0.003
