Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.647,0.023,0.931,0.005,0.267,0.035,0.221,0.033,0.339,0.047,0.954,0.005
RF,0.655,0.019,0.932,0.01,0.284,0.046,0.242,0.057,0.356,0.037,0.955,0.012
XGB,0.684,0.023,0.919,0.006,0.283,0.029,0.212,0.026,0.429,0.046,0.938,0.006
KNN,0.561,0.014,0.96,0.003,0.195,0.039,0.407,0.097,0.13,0.029,0.993,0.002
