Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.619,0.0,0.609,0.0,0.832,0.0,0.387,0.0,0.694,0.0,0.596,0.0
RF,0.614,0.007,0.604,0.007,0.846,0.008,0.362,0.012,0.695,0.005,0.59,0.005
XGB,0.588,0.0,0.574,0.0,0.911,0.0,0.237,0.0,0.697,0.0,0.564,0.0
KNN,0.567,0.0,0.553,0.0,0.901,0.0,0.204,0.0,0.684,0.0,0.552,0.0
MLP,0.598,0.011,0.586,0.011,0.89,0.015,0.281,0.025,0.698,0.007,0.574,0.007
