Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.617,0.016,0.88,0.006,0.235,0.024,0.188,0.024,0.319,0.035,0.915,0.008
RF,0.61,0.019,0.926,0.008,0.284,0.037,0.334,0.065,0.253,0.041,0.968,0.01
XGB,0.542,0.011,0.945,0.005,0.151,0.038,0.716,0.138,0.085,0.023,0.998,0.001
KNN,0.545,0.011,0.941,0.007,0.162,0.035,0.505,0.12,0.097,0.022,0.994,0.004
