Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.646,0.023,0.913,0.005,0.294,0.031,0.257,0.029,0.347,0.048,0.945,0.006
RF,0.624,0.024,0.951,0.005,0.356,0.051,0.587,0.081,0.259,0.048,0.99,0.003
XGB,0.594,0.017,0.955,0.004,0.305,0.047,0.795,0.075,0.19,0.035,0.997,0.001
KNN,0.534,0.015,0.949,0.005,0.124,0.047,0.617,0.139,0.07,0.031,0.998,0.001
MLP,0.614,0.024,0.951,0.005,0.335,0.054,0.583,0.066,0.238,0.048,0.991,0.002
