Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.685,0.019,0.929,0.004,0.333,0.03,0.278,0.031,0.419,0.039,0.951,0.005
RF,0.731,0.021,0.973,0.002,0.594,0.037,0.826,0.065,0.466,0.042,0.996,0.002
XGB,0.718,0.021,0.974,0.003,0.587,0.039,0.894,0.048,0.438,0.042,0.998,0.001
KNN,0.695,0.021,0.973,0.003,0.55,0.044,0.928,0.04,0.392,0.043,0.999,0.001
MLP,0.705,0.023,0.969,0.003,0.534,0.043,0.757,0.07,0.415,0.048,0.994,0.002
