Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.893,0.02,0.822,0.03,0.953,0.021,0.692,0.062,0.932,0.014,0.912,0.021
RF,0.887,0.019,0.786,0.026,0.973,0.013,0.6,0.05,0.93,0.013,0.891,0.021
XGB,0.891,0.019,0.801,0.028,0.967,0.014,0.636,0.056,0.931,0.013,0.899,0.021
KNN,0.858,0.022,0.712,0.03,0.983,0.01,0.44,0.06,0.914,0.015,0.855,0.026
MLP,0.88,0.024,0.798,0.036,0.949,0.022,0.648,0.074,0.924,0.017,0.9,0.024
