Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.884,0.019,0.821,0.03,0.938,0.017,0.703,0.058,0.925,0.014,0.913,0.021
RF,0.885,0.02,0.788,0.032,0.968,0.016,0.609,0.065,0.928,0.014,0.892,0.025
XGB,0.882,0.019,0.783,0.028,0.967,0.017,0.6,0.059,0.927,0.014,0.89,0.024
KNN,0.857,0.019,0.805,0.028,0.901,0.023,0.71,0.058,0.906,0.014,0.912,0.022
MLP,0.872,0.025,0.803,0.043,0.93,0.037,0.676,0.1,0.918,0.018,0.907,0.027
