Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.87,0.022,0.829,0.028,0.906,0.021,0.752,0.051,0.914,0.016,0.924,0.02
RF,0.891,0.019,0.806,0.029,0.963,0.017,0.65,0.058,0.931,0.013,0.902,0.021
XGB,0.884,0.018,0.801,0.024,0.955,0.017,0.646,0.048,0.927,0.014,0.9,0.02
KNN,0.892,0.018,0.81,0.026,0.963,0.015,0.657,0.052,0.932,0.013,0.904,0.02
MLP,0.879,0.02,0.811,0.03,0.937,0.022,0.685,0.065,0.922,0.015,0.909,0.021
