Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.89,0.021,0.817,0.028,0.952,0.022,0.682,0.053,0.93,0.015,0.909,0.018
RF,0.89,0.022,0.798,0.032,0.969,0.015,0.626,0.06,0.931,0.015,0.896,0.024
XGB,0.887,0.018,0.791,0.027,0.97,0.014,0.612,0.053,0.929,0.013,0.893,0.022
KNN,0.862,0.021,0.72,0.031,0.983,0.009,0.458,0.062,0.916,0.014,0.859,0.026
MLP,0.88,0.024,0.805,0.034,0.943,0.019,0.667,0.064,0.923,0.017,0.904,0.023
