Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.895,0.018,0.824,0.028,0.955,0.02,0.692,0.06,0.933,0.013,0.912,0.019
RF,0.888,0.019,0.799,0.028,0.963,0.016,0.635,0.057,0.929,0.014,0.898,0.021
XGB,0.888,0.022,0.797,0.031,0.966,0.016,0.628,0.059,0.93,0.015,0.896,0.023
KNN,0.861,0.022,0.715,0.032,0.984,0.01,0.447,0.063,0.915,0.015,0.856,0.026
MLP,0.882,0.026,0.797,0.033,0.955,0.023,0.639,0.064,0.925,0.018,0.898,0.024
