Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.724,0.029,0.958,0.004,0.444,0.05,0.424,0.059,0.471,0.057,0.976,0.004
RF,0.762,0.027,0.977,0.003,0.62,0.048,0.752,0.059,0.53,0.053,0.994,0.002
XGB,0.742,0.03,0.979,0.003,0.616,0.054,0.844,0.054,0.487,0.059,0.997,0.001
KNN,0.706,0.027,0.976,0.003,0.552,0.052,0.836,0.069,0.415,0.054,0.997,0.002
MLP,0.733,0.034,0.976,0.004,0.585,0.062,0.782,0.064,0.471,0.067,0.995,0.002
