Classifier,Mean AUC,Std AUC,Mean Accuracy,Std Accuracy,Mean F1 Score,Std F1 Score,Mean Precision,Std Precision,Mean Sensitivity,Std Sensitivity,Mean Specificity,Std Specificity
SVM,0.73,0.019,0.846,0.008,0.469,0.026,0.395,0.025,0.578,0.038,0.882,0.008
RF,0.775,0.015,0.82,0.012,0.484,0.02,0.366,0.021,0.715,0.03,0.835,0.014
XGB,0.662,0.014,0.908,0.007,0.464,0.029,0.737,0.044,0.339,0.027,0.984,0.004
KNN,0.581,0.016,0.897,0.007,0.276,0.042,0.798,0.045,0.168,0.034,0.994,0.002
MLP,0.707,0.016,0.905,0.006,0.525,0.026,0.639,0.037,0.447,0.033,0.966,0.005
